episode,avg_reward
1000,-0.2532532532532531
2000,-0.19559779889944934
3000,-0.18056018672890936
4000,-0.17091772943235772
5000,-0.16723344668933754
6000,-0.16086014335722595
7000,-0.16316616659522745
8000,-0.16595824478059717
9000,-0.16335148349816628
10000,-0.15926592659265895
11000,-0.15310482771161016
12000,-0.15247103925327066
13000,-0.14789599199938464
14000,-0.14472462318737006
15000,-0.14250950063337492
16000,-0.14447777986124039
17000,-0.14542031884228437
18000,-0.14564698038779908
19000,-0.1450076319806305
20000,-0.1457322866143303
21000,-0.1441497214153051
22000,-0.14518841765534746
23000,-0.1447671637897292
24000,-0.14354764781865828
25000,-0.14094563782551223
26000,-0.14208238778414456
27000,-0.14248675876884256
28000,-0.14089788921032834
29000,-0.1411772819752402
30000,-0.1388879629320975
31000,-0.13887544759508294
32000,-0.1380980655645482
33000,-0.13786781417618696
34000,-0.1386364304832495
35000,-0.13918969113403268
36000,-0.13694824856246046
37000,-0.1371658693478204
38000,-0.13647727571778245
39000,-0.13474704479602065
40000,-0.13442836070901817
41000,-0.13341788824117706
42000,-0.13415795614181344
43000,-0.13523570315588807
44000,-0.13463942362326511
45000,-0.13420298228849625
46000,-0.13466597099937033
47000,-0.1343751994723298
48000,-0.13427363070064022
49000,-0.13414559480805788
50000,-0.13375267505350202
51000,-0.133257514853233
52000,-0.13421411950229895
53000,-0.13485160097360416
54000,-0.13417841071130984
55000,-0.13430244186257959
56000,-0.1338684619368205
57000,-0.13329181213705563
58000,-0.13286435973034075
59000,-0.13264631603925517
60000,-0.1331272187869799
61000,-0.13364153510713317
62000,-0.13305859771931838
63000,-0.13231956062794648
64000,-0.1316973702714102
65000,-0.1313097124571148
66000,-0.13166108577402696
67000,-0.13115867401006012
68000,-0.13067839232929923
69000,-0.13108885636023773
70000,-0.1306590094144204
71000,-0.13026944041465435
72000,-0.1296545785358141
73000,-0.1287894354717197
74000,-0.12806254138569545
75000,-0.12790837211162942
76000,-0.12648192739378286
77000,-0.125540591436254
78000,-0.12577725355453456
79000,-0.1252420916720488
80000,-0.12523906548832106
81000,-0.1254274744132669
82000,-0.1250137196795109
83000,-0.12448342751117758
84000,-0.12416814485887005
85000,-0.12411910728361779
86000,-0.12340841172572042
87000,-0.12315658800676119
88000,-0.12309230786713755
89000,-0.12257441094844049
90000,-0.12244024933610657
91000,-0.12232002549478835
92000,-0.12191436863444435
93000,-0.12196905343068472
94000,-0.12190555218672815
95000,-0.1211696965231242
96000,-0.12074604943801792
97000,-0.12024350766503039
98000,-0.11942979009990191
99000,-0.11902140425661176
100000,-0.11873118731187647
