episode,avg_reward
10,1.3877787807814457e-17
20,-0.25
30,-0.21666666666666667
40,-0.2875
50,-0.22999999999999998
60,-0.2416666666666667
70,-0.24999999999999997
80,-0.29374999999999996
90,-0.25555555555555554
100,-0.29
110,-0.26363636363636367
120,-0.23333333333333334
130,-0.23076923076923078
140,-0.22857142857142856
150,-0.19666666666666666
160,-0.196875
170,-0.17058823529411765
180,-0.1583333333333333
190,-0.15263157894736837
200,-0.15499999999999994
210,-0.15952380952380948
220,-0.17954545454545454
230,-0.1869565217391304
240,-0.17083333333333325
250,-0.16199999999999992
260,-0.148076923076923
270,-0.16481481481481475
280,-0.1767857142857142
290,-0.16379310344827577
300,-0.1549999999999999
310,-0.1370967741935483
320,-0.1421874999999999
330,-0.15606060606060596
340,-0.16323529411764695
350,-0.1785714285714284
360,-0.1763888888888887
370,-0.1648648648648647
380,-0.16578947368421043
390,-0.17692307692307685
400,-0.18499999999999991
410,-0.1792682926829268
420,-0.16785714285714276
430,-0.16627906976744178
440,-0.16249999999999992
450,-0.17222222222222217
460,-0.16956521739130428
470,-0.16808510638297866
480,-0.17499999999999993
490,-0.17959183673469384
500,-0.17199999999999996
510,-0.17843137254901956
520,-0.18461538461538454
530,-0.18867924528301877
540,-0.18796296296296283
550,-0.19909090909090896
560,-0.21160714285714272
570,-0.20789473684210516
580,-0.20431034482758612
590,-0.19745762711864398
600,-0.19083333333333327
610,-0.1959016393442622
620,-0.19758064516129023
630,-0.1992063492063491
640,-0.2023437499999999
650,-0.19769230769230758
660,-0.20227272727272713
670,-0.19999999999999987
680,-0.19852941176470573
690,-0.20289855072463756
700,-0.20499999999999988
710,-0.20492957746478863
720,-0.21041666666666653
730,-0.2075342465753423
740,-0.20878378378378365
750,-0.2113333333333332
760,-0.20723684210526302
770,-0.20974025974025962
780,-0.20320512820512807
790,-0.20822784810126568
800,-0.2068749999999999
810,-0.2141975308641974
820,-0.21097560975609744
830,-0.2126506024096384
840,-0.20833333333333318
850,-0.20999999999999988
860,-0.20639534883720917
870,-0.204022988505747
880,-0.19943181818181807
890,-0.20393258426966282
900,-0.20555555555555546
910,-0.20384615384615376
920,-0.20597826086956517
930,-0.2026881720430107
940,-0.19999999999999996
950,-0.19894736842105254
960,-0.19687499999999988
970,-0.20103092783505142
980,-0.20204081632653045
990,-0.1969696969696968
1000,-0.19999999999999984
