episode,avg_reward
1000,-0.14150000000000038
2000,-0.15025
3000,-0.15033333333333337
4000,-0.14224999999999982
5000,-0.13789999999999994
6000,-0.13100000000000012
7000,-0.1323571428571428
8000,-0.12849999999999992
9000,-0.1261111111111112
10000,-0.1234499999999998
11000,-0.12281818181818155
12000,-0.12429166666666643
13000,-0.12003846153846111
14000,-0.11639285714285677
15000,-0.1181666666666661
16000,-0.11593749999999947
17000,-0.11544117647058769
18000,-0.11352777777777745
19000,-0.11592105263157863
20000,-0.11227499999999964
21000,-0.11111904761904719
22000,-0.112113636363636
23000,-0.11278260869565189
24000,-0.11474999999999991
25000,-0.11543999999999983
26000,-0.11371153846153843
27000,-0.11385185185185187
28000,-0.1124999999999997
29000,-0.11332758620689636
30000,-0.11311666666666652
31000,-0.11348387096774175
32000,-0.11273437499999985
33000,-0.11183333333333326
34000,-0.11102941176470572
35000,-0.10935714285714261
36000,-0.10890277777777749
37000,-0.10894594594594559
38000,-0.10851315789473642
39000,-0.10814102564102508
40000,-0.10737499999999958
41000,-0.10560975609756064
42000,-0.10552380952380917
43000,-0.10483720930232528
44000,-0.10443181818181785
45000,-0.10415555555555532
46000,-0.10214130434782566
47000,-0.10308510638297846
48000,-0.10332291666666643
49000,-0.1031224489795916
50000,-0.10413999999999989
51000,-0.1038137254901959
52000,-0.10315384615384596
53000,-0.10366981132075442
54000,-0.10299074074074041
55000,-0.10172727272727256
56000,-0.10094642857142841
57000,-0.10140350877192975
58000,-0.10040517241379317
59000,-0.10007627118644087
60000,-0.09963333333333364
61000,-0.09938524590163965
62000,-0.09983064516129056
63000,-0.09895238095238111
64000,-0.09911718749999995
65000,-0.09926153846153839
66000,-0.09845454545454531
67000,-0.09849999999999996
68000,-0.09849999999999999
69000,-0.09865217391304333
70000,-0.0990071428571428
71000,-0.09839436619718275
72000,-0.09741666666666639
73000,-0.09726027397260245
74000,-0.09686486486486487
75000,-0.09648666666666667
76000,-0.09615131578947365
77000,-0.09594805194805198
78000,-0.09562820512820511
79000,-0.09570253164556951
80000,-0.09573749999999992
81000,-0.09502469135802466
82000,-0.09484146341463402
83000,-0.09445783132530121
84000,-0.09419047619047619
85000,-0.09427647058823525
86000,-0.09423255813953504
87000,-0.09445977011494283
88000,-0.09419318181818204
89000,-0.09388764044943822
90000,-0.09356666666666673
91000,-0.09359890109890123
92000,-0.09371739130434785
93000,-0.09340322580645168
94000,-0.09409574468085126
95000,-0.09413684210526312
96000,-0.09348437499999998
97000,-0.0933917525773193
98000,-0.09306122448979542
99000,-0.0932020202020198
100000,-0.09328999999999953
