episode,avg_reward
1000,-0.22822822822822814
2000,-0.19059529764882444
3000,-0.17389129709903284
4000,-0.17516879219804923
5000,-0.16443288657731547
6000,-0.1667777962993832
7000,-0.16473781968852738
8000,-0.16402050256282072
9000,-0.17246360706745242
10000,-0.16976697669767044
11000,-0.1671515592326582
12000,-0.16751395949662537
13000,-0.1668974536502813
14000,-0.16465461818701357
15000,-0.15837722514834365
16000,-0.15872867054190898
17000,-0.15739161127125167
18000,-0.15636979832212947
19000,-0.1564292857518824
20000,-0.15723286164308287
21000,-0.15686461260060094
22000,-0.15698440838219968
23000,-0.15728944736727696
24000,-0.15465227717821584
25000,-0.15470618824752988
26000,-0.15452517404515545
27000,-0.15404274232378923
28000,-0.15338047787420903
29000,-0.15350529328597484
30000,-0.15363845461515338
31000,-0.1530371947482173
32000,-0.15391105972061592
33000,-0.15347434770750587
34000,-0.15362216535780415
35000,-0.15321866339038243
36000,-0.1515042084502344
37000,-0.15245006621800544
38000,-0.1511618726808595
39000,-0.14988845867842723
40000,-0.15081627040675957
41000,-0.14928412888119139
42000,-0.14872973166027642
43000,-0.1477708783925193
44000,-0.14682151867087717
45000,-0.1467477055045652
46000,-0.1448835844257471
47000,-0.1450137236962475
48000,-0.14454467801412343
49000,-0.14445192759035708
50000,-0.14542290845816735
51000,-0.14469891566501122
52000,-0.14556049154791267
53000,-0.1459084133662881
54000,-0.145854552862088
55000,-0.14577537773413854
56000,-0.1455293844532918
57000,-0.14498499973683554
58000,-0.14402834531629677
59000,-0.14336683672604422
60000,-0.14330238837313772
61000,-0.14344497450777693
62000,-0.14337328021419526
63000,-0.14303401641295738
64000,-0.1431194237409941
65000,-0.1428791212172476
66000,-0.14271428354974872
67000,-0.14194987984895127
68000,-0.14127413638435696
69000,-0.14114697314453725
70000,-0.14016628808982923
71000,-0.13969915069226269
72000,-0.13948110390422042
73000,-0.1389950547267764
74000,-0.13896133731536844
75000,-0.138201842691235
76000,-0.13759391570941693
77000,-0.13753425369160596
78000,-0.1369312427082394
79000,-0.13699540500512625
80000,-0.1372267153339416
81000,-0.13671773725601516
82000,-0.13653825046646886
83000,-0.13598356606706039
84000,-0.135989714163263
85000,-0.13586630430946184
86000,-0.13542017930440992
87000,-0.13488086069954755
88000,-0.134632211729678
89000,-0.13434982415532684
90000,-0.133523705818953
91000,-0.13334212463873119
92000,-0.13336558006065155
93000,-0.13315196937601365
94000,-0.13323545995170083
95000,-0.1326908704302137
96000,-0.13253263054823378
97000,-0.13156321199187507
98000,-0.13148603557179064
99000,-0.13091041323649635
100000,-0.13118131181311712
