episode,avg_reward
1000,-0.26800000000000024
2000,-0.23524999999999988
3000,-0.2096666666666667
4000,-0.1712500000000003
5000,-0.1547
6000,-0.14199999999999957
7000,-0.1378571428571422
8000,-0.12737499999999935
9000,-0.13194444444444361
10000,-0.12529999999999913
11000,-0.12304545454545389
12000,-0.12216666666666608
13000,-0.11730769230769161
14000,-0.1174285714285707
15000,-0.11479999999999954
16000,-0.11128124999999978
17000,-0.10955882352941174
18000,-0.10744444444444434
19000,-0.10476315789473681
20000,-0.1043500000000001
21000,-0.10385714285714293
22000,-0.10134090909090901
23000,-0.10015217391304358
24000,-0.10031250000000025
25000,-0.10036000000000045
26000,-0.09888461538461593
27000,-0.09666666666666739
28000,-0.09578571428571506
29000,-0.09684482758620765
30000,-0.09731666666666722
31000,-0.09741935483871006
32000,-0.09660937500000019
33000,-0.09616666666666683
34000,-0.09772058823529421
35000,-0.09907142857142856
36000,-0.09743055555555558
37000,-0.09832432432432416
38000,-0.09909210526315772
39000,-0.10049999999999987
40000,-0.10017499999999986
41000,-0.0993780487804876
42000,-0.10071428571428549
43000,-0.10026744186046481
44000,-0.0994772727272725
45000,-0.09961111111111096
46000,-0.09861956521739124
47000,-0.09928723404255317
48000,-0.09875000000000014
49000,-0.09818367346938789
50000,-0.09682000000000014
51000,-0.09604901960784315
52000,-0.09544230769230755
53000,-0.09569811320754697
54000,-0.09549999999999972
55000,-0.09509999999999952
56000,-0.09444642857142817
57000,-0.0949561403508767
58000,-0.09474137931034436
59000,-0.09507627118644033
60000,-0.09551666666666629
61000,-0.09453278688524568
62000,-0.09445967741935464
63000,-0.09310317460317452
64000,-0.09271875000000011
65000,-0.09216923076923075
66000,-0.09276515151515141
67000,-0.09247761194029835
68000,-0.09207352941176448
69000,-0.09122463768115939
70000,-0.09084285714285693
71000,-0.09058450704225339
72000,-0.08997222222222216
73000,-0.09062328767123291
74000,-0.09051351351351343
75000,-0.08979999999999982
76000,-0.0894999999999997
77000,-0.08929220779220755
78000,-0.08946794871794835
79000,-0.08982278481012626
80000,-0.0889562499999995
81000,-0.0890987654320983
82000,-0.08860365853658483
83000,-0.08797590361445716
84000,-0.08802380952380884
85000,-0.08749411764705814
86000,-0.08752325581395255
87000,-0.08756896551724033
88000,-0.08759659090909004
89000,-0.08739887640449352
90000,-0.08676666666666574
91000,-0.08626373626373504
92000,-0.0862119565217379
93000,-0.08580107526881595
94000,-0.08534042553191389
95000,-0.08538421052631488
96000,-0.0851614583333322
97000,-0.08464432989690607
98000,-0.08477551020408038
99000,-0.08501515151515009
100000,-0.08505499999999867
