episode,avg_reward
10,-0.7
20,-0.5499999999999998
30,-0.4166666666666665
40,-0.4124999999999999
50,-0.41
60,-0.44166666666666665
70,-0.4928571428571428
80,-0.49374999999999997
90,-0.4833333333333332
100,-0.45499999999999985
110,-0.44999999999999984
120,-0.4499999999999998
130,-0.41153846153846135
140,-0.432142857142857
150,-0.39666666666666645
160,-0.39687499999999987
170,-0.40882352941176453
180,-0.37499999999999983
190,-0.35263157894736824
200,-0.3299999999999998
210,-0.31428571428571406
220,-0.30681818181818155
230,-0.2999999999999998
240,-0.29374999999999973
250,-0.3059999999999997
260,-0.2846153846153844
270,-0.2777777777777775
280,-0.26785714285714257
290,-0.2655172413793101
300,-0.2733333333333331
310,-0.2838709677419352
320,-0.28749999999999976
330,-0.2878787878787876
340,-0.2941176470588233
350,-0.3085714285714284
360,-0.3041666666666664
370,-0.29864864864864843
380,-0.29473684210526296
390,-0.29743589743589727
400,-0.2937499999999999
410,-0.2914634146341462
420,-0.28214285714285703
430,-0.2732558139534883
440,-0.27159090909090905
450,-0.2744444444444445
460,-0.2652173913043478
470,-0.26170212765957435
480,-0.2624999999999999
490,-0.26326530612244886
500,-0.27399999999999985
510,-0.2705882352941175
520,-0.26153846153846144
530,-0.26415094339622636
540,-0.26296296296296295
550,-0.2690909090909091
560,-0.27142857142857146
570,-0.2719298245614035
580,-0.26465517241379305
590,-0.2652542372881356
600,-0.2641666666666666
610,-0.26967213114754096
620,-0.26129032258064516
630,-0.26269841269841265
640,-0.26171874999999994
650,-0.25692307692307687
660,-0.2590909090909091
670,-0.25820895522388054
680,-0.2463235294117647
690,-0.24565217391304342
700,-0.24357142857142852
710,-0.24436619718309854
720,-0.2381944444444444
730,-0.2308219178082191
740,-0.229054054054054
750,-0.22999999999999995
760,-0.2243421052631578
770,-0.22792207792207783
780,-0.22564102564102556
790,-0.22721518987341763
800,-0.2243749999999999
810,-0.22901234567901224
820,-0.223170731707317
830,-0.22650602409638543
840,-0.22202380952380937
850,-0.22176470588235278
860,-0.22558139534883706
870,-0.22298850574712625
880,-0.2272727272727271
890,-0.21853932584269647
900,-0.21611111111111095
910,-0.21483516483516465
920,-0.2146739130434781
930,-0.21236559139784933
940,-0.21010638297872325
950,-0.21052631578947356
960,-0.2072916666666665
970,-0.20824742268041216
980,-0.20816326530612228
990,-0.2070707070707069
1000,-0.20599999999999985
