episode,avg_reward
10,0.09999999999999998
20,-0.17500000000000002
30,-0.2833333333333333
40,-0.13749999999999996
50,-0.16999999999999998
60,-0.125
70,-0.19285714285714287
80,-0.24375
90,-0.2166666666666667
100,-0.265
110,-0.2409090909090909
120,-0.2541666666666667
130,-0.2423076923076924
140,-0.22500000000000003
150,-0.24333333333333335
160,-0.23750000000000002
170,-0.2205882352941177
180,-0.225
190,-0.2026315789473684
200,-0.1925
210,-0.19285714285714284
220,-0.22045454545454538
230,-0.21521739130434772
240,-0.21874999999999994
250,-0.23399999999999996
260,-0.2269230769230769
270,-0.22037037037037036
280,-0.20714285714285707
290,-0.20344827586206884
300,-0.20999999999999985
310,-0.2225806451612902
320,-0.2156249999999999
330,-0.22575757575757566
340,-0.22499999999999992
350,-0.24428571428571422
360,-0.24583333333333326
370,-0.2418918918918918
380,-0.24605263157894722
390,-0.25256410256410233
400,-0.24124999999999977
410,-0.24146341463414614
420,-0.24999999999999978
430,-0.2511627906976742
440,-0.24999999999999975
450,-0.24555555555555533
460,-0.24673913043478238
470,-0.24468085106382959
480,-0.2354166666666665
490,-0.23265306122448964
500,-0.23199999999999987
510,-0.2372549019607842
520,-0.2365384615384614
530,-0.23207547169811304
540,-0.22777777777777763
550,-0.23454545454545436
560,-0.24107142857142838
570,-0.24736842105263138
580,-0.2517241379310343
590,-0.2576271186440677
600,-0.25333333333333313
610,-0.24672131147540957
620,-0.24919354838709654
630,-0.253174603174603
640,-0.2554687499999998
650,-0.25461538461538435
660,-0.2583333333333331
670,-0.2559701492537311
680,-0.24999999999999978
690,-0.24130434782608678
700,-0.23071428571428554
710,-0.22887323943661958
720,-0.22013888888888875
730,-0.22534246575342448
740,-0.22770270270270257
750,-0.22599999999999978
760,-0.23092105263157872
770,-0.2266233766233764
780,-0.22884615384615362
790,-0.22531645569620232
800,-0.22374999999999978
810,-0.21851851851851828
820,-0.22073170731707295
830,-0.22168674698795163
840,-0.22857142857142837
850,-0.22529411764705864
860,-0.22325581395348817
870,-0.22643678160919517
880,-0.2244318181818179
890,-0.2241573033707862
900,-0.22166666666666637
910,-0.22307692307692278
920,-0.22065217391304323
930,-0.2161290322580643
940,-0.2180851063829785
950,-0.2157894736842103
960,-0.20624999999999977
970,-0.20773195876288636
980,-0.2096938775510202
990,-0.21464646464646447
1000,-0.20949999999999983
